"";"BD";"fiche_n";"id_sortie";"id_obs";"date";"a";"m";"j";"Saisie";"etat_mer";"temp";"force_v";"direct_v";"direct_h";"neb";"phase_lune";"y_lat_DD";"x_lon_DD";"mod_peche";"prof_m_moyen";"nb_pecheur";"h_debut";"heure_enq";"h_fin";"Temps_peche_effectif";"choix_site";"fonds_rech";"esp_cib";"mort_app";"mort_esp";"viv_app";"viv_esp";"autre_app";"procu_app";"tech_util";"nom_scien";"nb_ind";"tail_cm";"poids_g";"poids_sor";"photos";"CPUE";"CPUE total";"obs";"y_lat";"y_degre";"y_min_dec";"lat";"x_lon";"x_degre";"x_min_dec";"long";"temps_peche_estime";"res_tour";"infraction";"infraction_nb";"zone_peche";"commune";"mode_de_pêche";"zone_geographique"
"232";"PNMCA";298;"PECHLOIS2023_0156";"PECHLOIS2023_0156_C";2023-07-07;"2023";"07";"07";"Maea_LABEGORRE";2;26;"3";"SE";"SO";"0_10";"pln_lune";42,95916;9,45353;"csm";10;2;06:00:00;12:45:00;10:00:00;06:45:00;"NA";"NA";"Diplodus sargus, Sparus aurata";"0";"0";"0";"0";"0";"0";"indienne, chasse a trou";"Labrus viridis";2;15;71,3433649781538;NA;"non";5,28469370208547;NA;"filet avec tous les poissons, ils etaient presses donc pas possible de prendre en photo";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"233";"PNMCA";298;"PECHLOIS2023_0156";"PECHLOIS2023_0156_C";2023-07-07;"2023";"07";"07";"Maea_LABEGORRE";2;26;"3";"SE";"SO";"0_10";"pln_lune";42,95916;9,45353;"csm";10;2;06:00:00;12:45:00;10:00:00;06:45:00;"NA";"NA";"Diplodus sargus, Sparus aurata";"0";"0";"0";"0";"0";"0";"indienne, chasse a trou";"Mullus surmuletus";1;15;37,7463684500131;NA;"non";2,79602729259356;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"234";"PNMCA";298;"PECHLOIS2023_0156";"PECHLOIS2023_0156_C";2023-07-07;"2023";"07";"07";"Maea_LABEGORRE";2;26;"3";"SE";"SO";"0_10";"pln_lune";42,95916;9,45353;"csm";10;2;06:00:00;12:45:00;10:00:00;06:45:00;"NA";"NA";"Diplodus sargus, Sparus aurata";"0";"0";"0";"0";"0";"0";"indienne, chasse a trou";"Sarpa salpa";1;15;50,259700251664;NA;"non";3,72294075938252;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"235";"PNMCA";298;"PECHLOIS2023_0156";"PECHLOIS2023_0156_C";2023-07-07;"2023";"07";"07";"Maea_LABEGORRE";2;26;"3";"SE";"SO";"0_10";"pln_lune";42,95916;9,45353;"csm";10;2;06:00:00;12:45:00;10:00:00;06:45:00;"NA";"NA";"Diplodus sargus, Sparus aurata";"0";"0";"0";"0";"0";"0";"indienne, chasse a trou";"Serranus cabrilla";1;15;37,1063647540447;NA;"non";2,74861961141072;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"secondaire";"min_cons";"1";NA;NA;NA;NA
"236";"PNMCA";298;"PECHLOIS2023_0156";"PECHLOIS2023_0156_C";2023-07-07;"2023";"07";"07";"Maea_LABEGORRE";2;26;"3";"SE";"SO";"0_10";"pln_lune";42,95916;9,45353;"csm";10;2;06:00:00;12:45:00;10:00:00;06:45:00;"NA";"NA";"Diplodus sargus, Sparus aurata";"0";"0";"0";"0";"0";"0";"indienne, chasse a trou";"Sparus aurata";2;15;99,685319208806;NA;"non";7,38409771917082;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"secondaire";"maille";"2";NA;NA;NA;NA
"237";"PNMCA";299;"PECHLOIS2023_0157";"PECHLOIS2023_0157_A";2023-07-11;"2023";"07";"11";"Maeva_LABEGORRE";0;26;"1";"SE";"NO";"0_10";"dern_quart";42,71042;9,45487;"pdb";3;2;08:15:00;08:45:00;11:30:00;00:30:00;"NA";"NA";"Sparus aurata";"0";"0";"vers";"dure vert";"0";"0";"flotteur, calee";"Diplodus sargus";1;10;16,9825704998914;57;"oui";16,9825704998914;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";03:15:00;"touriste";"maille";"1";NA;NA;NA;NA
"238";"PNMCA";299;"PECHLOIS2023_0157";"PECHLOIS2023_0157_A";2023-07-11;"2023";"07";"11";"Maeva_LABEGORRE";0;26;"1";"SE";"NO";"0_10";"dern_quart";42,71042;9,45487;"pdb";3;2;08:15:00;08:45:00;11:30:00;00:30:00;"NA";"NA";"Sparus aurata";"0";"0";"vers";"dure vert";"0";"0";"flotteur, calee";"Lithognathus mormyrus";3;10;39,7958445596865;NA;"oui";39,7958445596865;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";03:15:00;"touriste";"maille";"3";NA;NA;NA;NA
"239";"PNMCA";301;"PECHLOIS2023_0158";"PECHLOIS2023_0158_B";2023-07-12;"2023";"07";"12";"Maeva_LABEGORRE";1;26;"1";"SE";"NO";"25_50";"dern_quart";42,77342;9,47722;"pdb";4;1;07:00:00;09:50:00;12:00:00;02:50:00;"NA";"NA";"Serranus cabrilla, Coris julis";"0";"0";"vers";"dure vert";"0";"0";"a soutenir du bord";"Thalassoma pavo";1;9;NA;NA;"oui";NA;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";05:00:00;"touriste";"NA";"NA";NA;NA;NA;NA
"240";"PNMCA";302;"PECHLOIS2023_0159";"PECHLOIS2023_0159_A";2023-07-13;"2023";"07";"13";"Maeva_LABEGORRE";2;27;"1";"NO";"NO";"25_50";"dern_quart";42,79328;9,48906;"csm";10;1;06:30:00;10:00:00;09:00:00;03:30:00;"NA";"NA";"Sparus aurata, Diplodus sargus";"0";"0";"0";"0";"0";"0";"indienne";"Diplodus sargus";1;28;376,659651721208;619;"oui";107,617043348917;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";02:30:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"241";"PNMCA";302;"PECHLOIS2023_0159";"PECHLOIS2023_0159_A";2023-07-13;"2023";"07";"13";"Maeva_LABEGORRE";2;27;"1";"NO";"NO";"25_50";"dern_quart";42,79328;9,48906;"csm";10;1;06:30:00;10:00:00;09:00:00;03:30:00;"NA";"NA";"Sparus aurata, Diplodus sargus";"0";"0";"0";"0";"0";"0";"indienne";"Sparus aurata";1;26;241,653340730879;NA;"oui";69,043811637394;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";02:30:00;"secondaire";"NA";"NA";NA;NA;NA;NA
