"mod_peche";"a";"age_classe";"cat_pro.gp";"sexe";"res_tour";"poss_bat";"Temps_peche_effectif.cat2h";"time.day.gp";"zone.gp";"nb_sort_an_cat";"dep.mod_peche.chr"
"peche du bord";"2020";"40-49";"sans_emploi-en_arret";"homme";"resident";"non";"<2h";"pm";"Est Cap";"Q2 (11-15)";"< 100 euros"
"chasse sous-marine";"2020";"25-39";"activite";"homme";"resident";"non";">=2h";"pm";"Est Cap";"Q1 (<=10)";"entre 100-500 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"occasionnel";"non";"<2h";"pm";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"pm";"Est Cap";"Q3 (16-30)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";">=2h";"pm";"Ouest Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"40-49";"sans_emploi-en_arret";"homme";"resident";"non";">=2h";"am";"Saint-Florent";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"40-49";"sans_emploi-en_arret";"homme";"resident";"non";"<2h";"pm";"Est Cap";"Q3 (16-30)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"pm";"Est Cap";"Q2 (11-15)";"< 100 euros"
"chasse sous-marine";"2020";"13-24";"etudiant";"homme";"resident";"non";">=2h";"pm";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"40-49";"sans_emploi-en_arret";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"occasionnel";"non";"<2h";"am";"Est Cap";"Q1 (<=10)";"< 100 euros"
